Missing-only mode: 182 unresolved player-game rows selected from 1369 rows.
Missing-only mode: 68 players to request.
  [1/61] gen_2002_20020420_CHH_ORL: no pbpstats.com API match
  [2/61] gen_2002_20020420_IND_NJN: no pbpstats.com API match
  [3/61] gen_2002_20020420_SAS_SEA: matched 5/6 player rows
  [4/61] gen_2002_20020421_BOS_PHI: matched 2/6 player rows
  [5/61] gen_2002_20020421_DAL_MIN: matched 3/5 player rows
  [6/61] gen_2002_20020421_DET_TOR: matched 1/3 player rows
  [7/61] gen_2002_20020421_LAL_POR: no pbpstats.com API match
  [8/61] gen_2002_20020422_IND_NJN: no pbpstats.com API match
  [9/61] gen_2002_20020422_SAS_SEA: matched 5/5 player rows
  [10/61] gen_2002_20020423_CHH_ORL: no pbpstats.com API match
  [11/61] gen_2002_20020423_SAC_UTA: no pbpstats.com API match
  [12/61] gen_2002_20020424_DAL_MIN: matched 3/6 player rows
  [13/61] gen_2002_20020424_DET_TOR: matched 1/3 player rows
  [14/61] gen_2002_20020425_BOS_PHI: matched 2/3 player rows
  [15/61] gen_2002_20020425_LAL_POR: no pbpstats.com API match
  [16/61] gen_2002_20020426_IND_NJN: no pbpstats.com API match
  [17/61] gen_2002_20020427_CHH_ORL: no pbpstats.com API match
  [18/61] gen_2002_20020427_DET_TOR: matched 1/4 player rows
  [19/61] gen_2002_20020427_SAC_UTA: no pbpstats.com API match
  [20/61] gen_2002_20020427_SAS_SEA: matched 5/5 player rows
  [21/61] gen_2002_20020428_BOS_PHI: matched 2/7 player rows
  [22/61] gen_2002_20020428_DAL_MIN: matched 3/4 player rows
  [23/61] gen_2002_20020429_DET_TOR: matched 1/5 player rows
  [24/61] gen_2002_20020430_CHH_ORL: no pbpstats.com API match
  [25/61] gen_2002_20020430_IND_NJN: no pbpstats.com API match
  [26/61] gen_2002_20020501_BOS_PHI: matched 2/3 player rows
  [27/61] gen_2002_20020501_SAS_SEA: matched 5/6 player rows
  [28/61] gen_2002_20020502_DET_TOR: matched 1/3 player rows
  [29/61] gen_2002_20020503_BOS_PHI: matched 2/3 player rows
  [30/61] gen_2002_20020503_SAS_SEA: matched 5/5 player rows
  [31/61] gen_2002_20020504_DAL_SAC: matched 2/5 player rows
  [32/61] gen_2002_20020505_BOS_DET: matched 2/3 player rows
  [33/61] gen_2002_20020505_LAL_SAS: matched 1/4 player rows
  [34/61] gen_2002_20020506_DAL_SAC: matched 2/3 player rows
  [35/61] gen_2002_20020507_CHH_NJN: no pbpstats.com API match
  [36/61] gen_2002_20020507_LAL_SAS: matched 1/1 player rows
  [37/61] gen_2002_20020508_BOS_DET: matched 2/3 player rows
  [38/61] gen_2002_20020509_CHH_NJN: no pbpstats.com API match
  [39/61] gen_2002_20020509_DAL_SAC: matched 2/4 player rows
  [40/61] gen_2002_20020510_BOS_DET: matched 2/2 player rows
  [41/61] gen_2002_20020510_LAL_SAS: no pbpstats.com API match
  [42/61] gen_2002_20020511_DAL_SAC: matched 2/3 player rows
  [43/61] gen_2002_20020512_BOS_DET: matched 2/3 player rows
  [44/61] gen_2002_20020512_LAL_SAS: matched 1/3 player rows
  [45/61] gen_2002_20020513_DAL_SAC: matched 2/4 player rows
  [46/61] gen_2002_20020514_BOS_DET: matched 2/3 player rows
  [47/61] gen_2002_20020514_LAL_SAS: matched 1/3 player rows
  [48/61] gen_2002_20020519_BOS_NJN: matched 1/3 player rows
  [49/61] gen_2002_20020520_LAL_SAC: no pbpstats.com API match
  [50/61] gen_2002_20020521_BOS_NJN: matched 1/2 player rows
  [51/61] gen_2002_20020524_LAL_SAC: no pbpstats.com API match
  [52/61] gen_2002_20020525_BOS_NJN: matched 1/1 player rows
  [53/61] gen_2002_20020526_LAL_SAC: no pbpstats.com API match
  [54/61] gen_2002_20020527_BOS_NJN: matched 1/2 player rows
  [55/61] gen_2002_20020528_LAL_SAC: matched 1/3 player rows
  [56/61] gen_2002_20020529_BOS_NJN: matched 1/2 player rows
  [57/61] gen_2002_20020531_BOS_NJN: matched 1/2 player rows
  [58/61] gen_2002_20020602_LAL_SAC: no pbpstats.com API match
  [59/61] gen_2002_20020607_LAL_NJN: no pbpstats.com API match
  [60/61] gen_2002_20020609_LAL_NJN: no pbpstats.com API match
  [61/61] gen_2002_20020612_LAL_NJN: matched 1/3 player rows
Wrote /workspaces/playoff-translation/data/player_game_adjts_ingredients.csv with 4,383 rows. Newly rebuilt rows: 81. Matched games: 40. Unmatched games: 21.
Applied verified pbpstats.com API AdjTS to data-package.json, data/data-package.json, and index.html.
